city,GEOID,cam_count,image_count,pnhwht,pnhblk,pasian,phisp,entropy,entropy_rank,total_crime_rate,viol_veh_crime_rate,pop,hinc,pvac,mhmval,modal_zone,road_length_km,log_road_length
Los Angeles,060371011101,0,42,63.270142180094794,0.47393364928909953,2.6066350710900474,28.436018957345972,0.9216392541722744,0.5098137896326119,1.2440758293838863,0.17772511848341233,1688,74125,3.4257748776508974,511700,residential,11.424042160658626,2.4357200961242618
Los Angeles,060371011102,0,56,52.10656753407683,0.6815365551425031,11.27633209417596,33.767038413878566,1.0694553027768547,0.6763965777554102,4.2131350681536555,0.8674101610904585,1614,41625,18.61111111111111,432400,residential,13.898238682802136,2.6317621186403444
Los Angeles,060371011103,0,36,72.06931702344546,0,11.009174311926607,16.615698267074414,0.794896646195537,0.3739305485656769,4.383282364933741,0.40774719673802245,981,74886,4.567307692307692,465000,residential,11.392305947878716,2.4329382106887967
Los Angeles,060371011221,0,76,84.04452690166976,3.4322820037105752,4.638218923933209,5.194805194805195,0.6551577439875336,0.24458983392048314,2.2263450834879404,0.2319109461966605,2156,90611,3.2710280373831773,626000,residential,26.388682681431337,3.272935231930607
Los Angeles,060371011222,0,64,85.66853482786229,0,9.607686148919136,2.8022417934347477,0.5336994824296656,0.16255661801711122,2.8022417934347477,0.08006405124099279,1249,79868,10.37037037037037,618300,residential,18.121408029473642,2.8970940034167336
Los Angeles,060371012101,0,38,50.3774204135215,1.3784049885132919,8.27042993107975,39.514276337381034,1.0022203883345506,0.6014091595369905,3.7742041352149656,0.6892024942566459,3047,31758,3.1221303948576673,336500,commercial,9.853482074226891,2.2878249027878295
Los Angeles,060371012102,0,52,43.96969696969697,4.7272727272727275,7.090909090909091,42.78787878787879,1.116989224839099,0.7302466029189734,2.666666666666667,0.33333333333333337,3300,50179,4.681504221028396,486800,residential,10.023536688490728,2.304935996303186
Los Angeles,060371012201,0,40,62.699822380106575,0,6.127886323268205,26.1101243339254,0.9654427231298474,0.5661801711122295,2.841918294849023,0.5328596802841918,1126,44798,5.793991416309012,555500,residential,8.208566341845403,2.10517828481095
Los Angeles,060371012202,0,34,42.934782608695656,3.377329192546584,10.559006211180124,41.537267080745345,1.1456591365832476,0.7700050327126321,3.3385093167701863,0.4658385093167702,2576,42778,0,437900,residential,11.2881685414999,2.4237551454719926
Los Angeles,060371013001,0,58,85.89243959469992,3.819173811379579,3.2735775526110675,5.845674201091192,0.5852543905153634,0.19627579265223954,4.442712392829307,0.23382696804364772,1283,80000,0,604400,residential,14.356991475482463,2.6642370343919826
Los Angeles,060371013002,0,34,64.77584629460202,14.272644098810613,12.351326623970722,4.300091491308326,1.0880685649230941,0.6919979869149472,1.8298261665141813,0.2744739249771272,1093,85417,11.777777777777777,603600,commercial,12.36415755122494,2.514801766927677
Los Angeles,060371013003,0,28,84.55467869222097,0,0,15.44532130777903,0.43035649106243157,0.10870659285354806,3.0439684329199546,0.2254791431792559,887,67344,14.245014245014245,660800,residential,8.00097526698595,2.0795634426228577
Los Angeles,060371013004,0,26,91.14331723027375,0,2.737520128824477,6.119162640901772,0.353976574394735,0.07851031706089583,1.610305958132045,0.1610305958132045,621,130694,16.060606060606062,533600,residential,8.525509916609943,2.1430628356458747
Los Angeles,060371014001,0,22,65.74074074074075,0,7.986111111111111,24.189814814814813,0.9015578788114613,0.48817312531454454,2.5462962962962963,0.23148148148148145,864,54067,0,464900,residential,9.83918408404864,2.286372789338511
Los Angeles,060371014002,0,150,74.2245199409158,0,17.872968980797637,7.902511078286559,0.7295613267270328,0.3080020130850528,3.5450516986706058,0.7385524372230428,1354,90278,23.850574712643677,629500,residential,42.14241746583046,3.7410547742158897
Los Angeles,060371014003,0,84,56.29032258064516,0.7258064516129032,7.903225806451612,22.177419354838708,1.1580290536558588,0.7825868142929039,3.7096774193548385,0.6451612903225806,1240,79125,11.864406779661017,556100,residential,18.68088187082064,2.927500641045077
Los Angeles,060371021031,0,106,62.733976176971076,1.4180374361883155,12.705615428247304,20.13613159387408,1.043056567365385,0.6492199295420231,4.480998298355077,0.5104934770277936,1763,76833,6.738544474393531,616100,residential,17.498555873020862,2.8621183559827137
Los Angeles,060371021041,0,26,68.8594923131927,2.609939220593493,11.047550947443689,10.010725777618877,1.019670844008211,0.6240563663814797,1.716124419020379,0.14301036825169824,2797,86563,7.9831932773109235,561900,residential,9.781486327636935,2.2804914487405026
Los Angeles,060371021042,0,52,69.48051948051948,0,5.411255411255411,25.108225108225106,0.7578138990584089,0.334675390035229,4.112554112554113,0.4329004329004329,924,73167,9.462915601023019,734100,residential,14.51837165219183,2.6754148579420587
Los Angeles,060371021051,0,40,18.82229232386961,0,9.14826498422713,68.03364879074658,0.9238522411151807,0.5128334172118773,0.7360672975814931,0,951,59432,4.901960784313726,540900,residential,7.546936193296616,2.021141678688565
Los Angeles,060371021052,0,26,25.995807127882596,1.4675052410901468,4.29769392033543,66.66666666666666,0.8830319883253765,0.4635128334172119,2.9350104821802936,1.0482180293501049,954,53500,3.5971223021582732,465300,residential,4.7174693334484745,1.5512724976455812
Los Angeles,060371021071,0,128,52.49014690075242,0.6091006807595843,11.967036904335364,33.321390182730205,1.056195144111102,0.6633115249119276,3.1888212110354712,0.5016123253314224,2791,109800,0.7909604519774011,668500,residential,36.701101324716944,3.6028067634581413
Los Angeles,060371021072,0,118,73.17073170731707,3.3376123234916557,4.10783055198973,17.008985879332478,0.8633027742237775,0.4408656265727227,2.5673940949935816,0.19255455712451863,1558,108194,5.465587044534413,721600,public,27.007954534847155,3.2961314350163637
Los Angeles,060371031011,0,86,70.98723975822699,0.6715916722632639,10.073875083948959,15.580926796507724,0.8949055608906167,0.47961751383995976,2.41773002014775,0.2686366689053056,1489,110000,13.122171945701359,560700,residential,25.08435439668639,3.2222443209770146
Los Angeles,060371031012,0,42,78.38125665601704,0.8519701810436635,1.4909478168264112,17.465388711395104,0.6716201401830982,0.25616507297433316,1.703940362087327,0,939,75536,0,533700,residential,8.730677451753449,2.1668429672707017
Los Angeles,060371031022,0,34,52.49621785173979,0,2.723146747352496,44.78063540090771,0.7961913757615002,0.37493709109209866,4.084720121028744,0.30257186081694404,661,72463,0,441100,residential,8.095475770533858,2.091305358785322
Los Angeles,060371031023,0,36,42.09541627689429,0,21.702525724976613,33.3956969130028,1.1623254236389424,0.7881227981882235,5.799812909260991,0.2806361085126286,1069,71094,2.6392961876832843,465600,residential,9.150354843198198,2.2137926592128774
Los Angeles,060371031025,0,36,67.78093883357042,0,6.827880512091039,20.19914651493599,0.9235377477582474,0.5118268746854555,3.769559032716927,0.42674253200568996,1406,85486,10.920770877944326,504300,residential,8.630680109690925,2.1553233096021063
Los Angeles,060371032001,0,122,63.35685483870967,2.620967741935484,11.643145161290322,20.766129032258064,1.0279571192378094,0.6346250629089079,3.326612903225806,0.45362903225806456,1984,100417,5.986394557823129,688000,residential,28.364524237302284,3.3451392177593973
Los Angeles,060371032002,0,152,62.2860020140987,0,8.207452165156093,28.700906344410875,0.8971783901191428,0.4836436839456467,4.984894259818732,0.4531722054380665,1986,84554,6.22568093385214,505200,residential,44.4717607820203,3.794854398567181
Los Angeles,060371032003,0,66,57.629255989911734,2.2278268179907523,1.807482135350988,32.32450609499789,1.0089638033882768,0.6074484146955209,3.1525851197982346,0.546448087431694,2379,66351,3.9053254437869818,594500,residential,16.30852704141581,2.7916881024024045
Los Angeles,060371033001,0,108,76.11379495437467,0.05367686527106817,7.7831454643048845,13.955984970477726,0.766275974160023,0.3412179164569703,2.844873859366613,0.3757380568974772,1863,96765,9.34844192634561,675800,residential,34.67388510507704,3.5459868129825307
Los Angeles,060371033002,0,164,77.11157455683004,0,6.569343065693431,7.455683003128259,0.7876385265326065,0.3648716658278812,4.43169968717414,0.36496350364963503,1918,130938,5.124450951683748,754100,residential,36.78619241755087,3.605122568722672
Los Angeles,060371034002,0,30,24.321796071094482,0.18709073900841908,1.1225444340505144,70.15902712815716,0.7880082700895497,0.3653749370910921,2.1515434985968196,0.2806361085126286,1069,110447,0,665100,residential,8.11885241751113,2.094188816293141
Los Angeles,060371034004,0,32,61.587591240875916,2.4635036496350367,27.463503649635037,3.923357664233577,1.012568811799278,0.6144942123804731,3.5583941605839415,0.6386861313868614,1096,87542,0,555400,residential,9.746150275141648,2.276872363463291
Los Angeles,060371034005,0,104,61.93798449612403,3.7209302325581395,17.325581395348838,15.232558139534882,1.08131762917706,0.6864620030196276,3.4108527131782944,0.4263565891472868,2580,82857,3.486238532110092,496500,residential,21.787977375626507,3.081358321134002
Los Angeles,060371041031,0,40,12.35038084874864,3.1011969532100108,5.00544069640914,78.89009793253537,0.7358275812224797,0.31303472571716157,2.4483133841131663,0.3264417845484222,1838,81181,8.57843137254902,456700,residential,13.648243294245436,2.613610816956602
Los Angeles,060371041032,0,56,9.541745134965474,23.477715003138734,6.716886377903326,59.69868173258004,1.0830007459641695,0.688978359335682,3.1387319522912747,0.5649717514124294,1593,106136,0,463600,residential,14.15563072378307,2.6501124759451042
Los Angeles,060371041051,0,24,14.912774338773213,4.839617332583005,28.812605514912775,46.201463140123806,1.3000168280938327,0.9204831404126824,1.4631401238041641,0.28137310073157007,1777,92368,0,437400,residential,4.4384714531157,1.4903100498542527
Los Angeles,060371041052,0,20,1.8704699555763384,4.489127893383213,4.044891278933832,85.59738134206219,0.6053255669955548,0.2073477604428787,1.2859480944587327,0.303951367781155,4277,41250,3.7406483790523692,277700,residential,9.270796760183796,2.226869326281629
Los Angeles,060371041081,0,50,5.620915032679739,7.450980392156863,2.701525054466231,83.18082788671023,0.6537294860596965,0.2420734776044288,4.052287581699346,0.56644880174291945,2295,51921,4.606525911708253,432200,residential,9.714686461431942,2.273638808652596
Los Angeles,060371041083,0,30,6.046814044213264,8.647594278283485,2.2106631989596877,81.66449934980494,0.6917682628127108,0.2747861097131354,1.1703511053315996,0.3250975292587776,1538,95714,0,422800,commercial,6.706734553167857,1.9031121787539274
Los Angeles,060371041241,0,78,10.133495145631068,10.254854368932039,12.37864077669903,67.23300970873787,0.9910677849741333,0.5893306492199295,2.063106796116505,0.24271844660194172,1648,50605,17.91483113069016,390300,residential,16.913950861283894,2.8281387761461554
Los Angeles,060371041242,0,72,34.26892950391645,18.994778067885118,7.7676240208877285,37.9242819843342,1.2963277422231374,0.9179667840966281,5.091383812010443,0.45691906005221933,1532,95278,0,490300,residential,12.348676109688556,2.513548859731845
Los Angeles,060371041243,0,2,76.54676258992805,4.460431654676259,0,5.611510791366906,0.7740721380380248,0.3507800704579768,0.14388489208633093,0,695,127782,0,414800,residential,1.6461190870844429,0.4984204490208028
Los Angeles,060371042011,0,36,1.6771488469601679,11.87980433263452,0,84.27672955974843,0.5488260062690893,0.17211877201811776,2.4458420684835778,0.628930817610063,1431,67863,0,439700,residential,9.06062897501039,2.2039385409355328
Los Angeles,060371042012,0,22,1.6774193548387095,4.774193548387097,0,93.54838709677419,0.27618850782499155,0.05234021137393055,3.9354838709677415,1.1612903225806452,1550,57132,0,450800,residential,10.609929407121792,2.3617902991750857
Los Angeles,060371042013,0,50,0.3778337531486146,9.886649874055415,0,89.73551637279597,0.3470396749579167,0.07599396074484147,2.707808564231738,0.3148614609571789,1588,54716,0,416200,residential,10.307974210311157,2.3329177908769343
Los Angeles,060371042031,0,28,2.7702702702702706,2.8040540540540544,2.2972972972972974,91.8581081081081,0.380248035505982,0.08857574232511324,3.5472972972972974,0.5405405405405406,2960,43594,0,357300,residential,8.914317314802412,2.1876586712435433
Los Angeles,060371042032,0,46,0,14.631197097944376,0,84.5626763401854,0.4618668218460061,0.1217916456970307,3.143893591293833,0.6852075775896815,2481,54904,2.8846153846153846,431700,residential,9.741932709739944,2.276439528127889
Los Angeles,060371042041,0,44,8.589306029579067,6.769055745164961,3.1854379977246867,79.92036405005688,0.7461750711424862,0.32511323603422243,7.394766780432309,0.7394766780432309,1758,37022,3.3950617283950617,398700,residential,9.055295199037946,2.2033496914707946
Los Angeles,060371043101,0,20,1.1644832605531297,2.134885977680738,0,95.48762736535662,0.2315856162212375,0.04026170105686965,3.1052886948083454,0.5822416302765648,2061,106528,9.025270758122744,411900,residential,8.01937225690983,2.081860146609237
Los Angeles,060371043103,0,66,2.2479564032697548,0,0.4087193460490463,97.34332425068119,0.1340031229309084,0.021137393054856568,4.087193460490464,0.9536784741144414,1468,63750,0,385200,residential,14.158360641250743,2.6503053076402856
Los Angeles,060371043201,1,64,4.250797024442083,4.675876726886291,0,88.66454126815445,0.473878364377842,0.12632108706592854,3.1880977683315623,0.5313496280552604,2823,57061,1.5174506828528074,426400,residential,14.86228919319602,2.6988270781111634
Los Angeles,060371043202,0,18,0,10.405257393209201,4.928806133625411,84.66593647316539,0.5247492198065863,0.15551082033215904,7.667031763417305,1.4238773274917853,913,31728,2.112676056338028,518900,residential,5.451126194992804,1.6958222286108668
Los Angeles,060371044011,0,72,2.8528528528528527,1.0510510510510511,2.7027027027027026,93.3933933933934,0.31077744685653,0.0634121791645697,4.954954954954955,1.5765765765765765,1332,75625,3.6900369003690034,435500,residential,16.465222485852514,2.8012504283913002
Los Angeles,060371044012,0,44,1.393188854489164,0,0,98.60681114551083,0.07337335549236347,0.013588324106693507,3.7667698658410735,0.7739938080495357,1938,52461,5.39906103286385,416100,residential,9.621399563926783,2.2639897389113997
Los Angeles,060371044031,0,46,0.7327796775769418,0,6.595017098192477,92.67220322423057,0.2858580873357241,0.05385002516356316,1.7586712261846604,0.39081582804103565,2047,78611,6.575963718820861,408600,residential,11.46521544859427,2.4393177079862705
Los Angeles,060371044032,0,52,0,0,0,100,-0,0.0027679919476597888,6.2596599690881,1.7001545595054095,1294,54315,5.947955390334572,321200,residential,13.536607860902748,2.6053977088371654
Los Angeles,060371044041,0,46,1.9622641509433962,0,4.905660377358491,93.13207547169812,0.2912977921244765,0.05586311021640664,6.415094339622642,1.2830188679245282,1325,43611,0,436600,residential,7.115639693035548,1.9622951351652336
Los Angeles,060371044042,0,26,3.069926094371802,3.524729960204662,0.11370096645821488,92.83683911313247,0.32609506486115336,0.06743834927025667,4.718590108015918,1.137009664582149,1759,65000,7.653061224489796,460900,residential,9.973795723024915,2.29996122596622
Los Angeles,060371045001,0,14,0,0.11376564277588168,0,99.43117178612059,0.03792320739232424,0.00754906894816306,1.9340159271899888,0.4550625711035267,879,56917,10.256410256410255,404300,residential,5.780779090268104,1.7545384643046595
Los Angeles,060371045002,0,38,1.1649580615097856,0,0,98.64864864864865,0.07700631831706838,0.01509813789632612,6.19757688723206,0.5125815470643057,2146,64894,4.862579281183932,412200,residential,12.106710815549521,2.49375991171716
Los Angeles,060371046101,0,38,2.6757607555089193,0,0,97.32423924449108,0.12328398297018674,0.0206341217916457,3.6726128016789086,0.5246589716684155,1906,58750,8.823529411764707,434800,industrial,8.285386583286611,2.1144933104159773
Los Angeles,060371046102,0,40,1.0135135135135136,0,0,97.02702702702702,0.15287710694500417,0.024660291897332664,2.5,0.40540540540540543,1480,79250,2.912621359223301,412900,residential,8.335038209260947,2.1204681003867245
