Trip,PID,Age,Kills,TripDays
T071498B,3394,32,2,11
T071498B,3349,37,0,11
T071498B,3111,63,5,11
T071498B,3094,66,0,11
T071498C,3182,54,0,5
T071498C,3139,59,0,5
T073198A,3394,32,0,2
T073198A,3401,32,0,2
T073198A,3390,33,0,2
T073198A,3371,35,0,2
T073198A,3316,40,0,2
T073198A,3322,40,0,2
T073198A,3240,49,0,2
T073198A,3139,59,0,2
T073198A,3128,61,0,2
T073198B,3217,51,0,10
T073198B,3172,55,2,10
T073198B,3166,56,0,10
T073198B,7032,56,0,10
T080698A,3378,35,0,7
T080698A,3316,40,0,7
T080698A,7032,56,0,7
T080698B,3240,49,0,5
T080698B,3139,59,0,5
T080798A,3394,32,1,6
T080798A,3254,47,0,6
T080798A,3128,61,0,6
T080798A,3111,63,0,6
T080798B,3182,54,0,3
T081298A,3480,22,0,2
T081897A,3495,19,0,3
T081897A,3371,34,0,3
T081897A,3172,54,0,3
T081897A,3166,55,0,3
T081897A,3111,62,1,3
T081897A,3094,65,0,3
T082098A,3394,32,1,3
T082098A,3401,32,0,3
T082098A,3390,33,2,3
T082098A,3371,35,0,3
T082098B,3217,51,1,14
T082098B,3172,55,3,14
T082098B,3166,56,0,14
T082198A,3434,28,0,4
T082198A,3378,35,0,4
T082198A,3316,40,0,4
T082198A,3182,54,0,4
T082198A,7032,56,0,4
T082198A,3139,59,0,4
T082198A,3094,66,0,4
T082998A,3390,33,1,5
T082998A,3378,35,0,5
T082998A,3316,40,0,5
T082998A,3254,47,0,5
T082998A,3111,63,0,5
T090197A,3240,48,0,9
T090197A,3217,50,0,9
T090197A,3166,55,0,9
T090997A,3182,53,0,5
T090997A,7032,55,0,5
T090997A,3139,58,0,5
T090997A,3094,65,0,5
T091297A,3172,54,0,2
T091297A,3111,62,0,2
T091297B,3480,21,0,2
T091297B,3414,29,0,2
T091297B,3371,34,0,2
T091297C,3465,22,0,3
T091297C,3390,32,0,3
T091297C,3316,39,0,3
T091797A,3525,18,0,4
T091797A,3254,46,0,4
T091797A,3172,54,0,4
T091797A,3128,60,0,4
T091797A,3111,62,0,4
T092397A,3525,18,0,4
T092397A,3465,22,0,4
T092397A,3254,46,0,4
T092397A,3172,54,0,4
T092397A,3146,57,0,4
T092397A,3111,62,0,4
T100297A,3480,21,0,9
T100297A,3465,22,0,9
T100297A,3390,32,0,9
T100297A,3371,34,0,9
T100297A,3316,39,0,9
T100297A,3139,58,0,9
T100497A,3548,16,0,5
T100497A,3450,24,0,5
T100497A,3349,36,0,5
T100497A,3302,41,0,5
T100497A,3146,57,0,5
T100497B,3240,48,0,8
T100497B,3217,50,0,8
T100497B,3182,53,0,8
T100497B,3166,55,0,8
T100497B,3111,62,0,8
T102097A,3316,39,0,3
T102097A,3254,46,1,3
T102097A,3172,54,1,3
T102097A,3111,62,1,3
T102697A,3217,50,4,15
T102697A,3166,55,0,15
T102997A,3480,21,0,3
T102997A,3450,24,0,3
T102997A,3436,26,0,3
T102997A,3390,32,1,3
T102997A,3371,34,0,3
T102997A,3349,36,1,3
T102997A,3254,46,2,3
T102997A,3172,54,2,3
T102997A,3111,62,0,3
T110897A,3390,32,3,5
T110897A,3371,34,1,5
T110897A,3316,39,0,5
T110897A,3322,39,2,5
T110897A,3302,41,1,5
T110897A,3172,54,1,5
T112097A,3240,48,0,5
T112097A,3217,50,1,5
T112097A,3166,55,0,5
T112097A,3111,62,6,5
T112097B,3182,53,0,10
T112097B,3139,58,0,10
T112097B,3094,65,0,10
T112597A,3386,32,0,3
T112597A,3254,46,0,3
T112597A,3172,54,0,3
T120497A,3529,17,0,3
T120497A,3316,39,0,3
T120497A,3254,46,0,3
T120497A,3172,54,0,3
T120997A,3182,53,0,5
T120997A,3094,65,0,5
T121597A,3254,46,0,4
T121597A,3128,60,0,4
