countyname,statename,fips_1,sociod_eqi_2jan2018_vc,air_eqi_2jan2018_vc,land_eqi_2jan2018_vc,water_eqi_2jan2018_vc,eqi_2jan2018_vc,pctnonwhite10,gdp2017b,metro,fac_penalty_count,CIDDist,FinalEC,estab,EPAregion,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,cases_2020,proportionObama
Custer County,Idaho,16037,-.38325965,1.1784353,1.1818831,-.58453625,1.7598177,5.9523811,.152468,0,1,103.6715897917241,0,4,10,0,0,0,0,0,0,0,0,0,0,0
Elmore County,Idaho,16039,-.13581616,2.138206,.14418386,-.54969674,1.1478658,24.901989,1.230006,0,0,18.57699374344187,0,14,10,0,0,0,0,0,0,0,0,0,0,0
Franklin County,Idaho,16041,-.29001197,.4106603,-.56464809,1.3768957,.033983991,8.1573601,.34352401,1,0,137.8820831087626,0,22,10,0,0,0,0,0,0,0,0,0,0,0
Fremont County,Idaho,16043,-.56488544,.82767445,-.35358262,-.67735368,.47723499,14.869354,.330015,0,2,210.8202194184229,0,10,10,0,0,0,0,0,0,0,0,0,0,0
Gem County,Idaho,16045,.024987075,.77143604,.37466908,1.3726475,.66137326,10.8918,.39955199,1,2,21.82298621620537,0,20,10,0,0,0,0,0,0,0,0,0,0,0
Gooding County,Idaho,16047,-.68141282,-.4192197,-.81853104,-.15243188,-.25667307,30.431971,1.078438,0,4,101.5798719162117,0,22,10,0,0,0,0,0,0,0,0,0,0,0
Idaho County,Idaho,16049,-.82121974,.89195985,1.1607527,-.92484587,1.4069643,7.6166472,.41545701,0,7,165.9846872745181,1,29,10,1,0,0,0,0,0,0,0,0,0,1
Jefferson County,Idaho,16051,-.002921151,1.3725566,-.98554897,-.62380797,-.12618761,12.299158,.708776,1,1,281.7475833539139,0,27,10,0,0,0,0,0,0,0,0,0,0,0
Jerome County,Idaho,16053,-.4552474,.11078481,-1.245255,-.42454442,-.46988511,33.145615,1.136027,0,10,154.2099727552081,0,27,10,0,0,0,0,0,0,0,0,0,0,0
Kootenai County,Idaho,16055,1.0119262,.42256495,.38580754,-.93276346,.31132799,7.9714642,6.0459509,1,7,340.3305876803412,1,254,10,0,0,0,0,0,1,0,0,0,0,1
